what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381447948830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381447954630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381447957330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381447960262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381447976299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381447981507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381447993329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381448009944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381448012228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381448013189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381448013497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381448014953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381448017018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381448022375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381448026446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448035670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448312179
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381448314010
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381448316947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381448334365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381448349260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448352690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448358780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381448363261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448364681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448365783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448366676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448371495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448374991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448438362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448440121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448511150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448512743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448513585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448514046
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381448516286
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381448516322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448555627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381448557472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448561440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448781293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448785989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448825785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448832067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448836286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448849708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448906478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448925676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448928421
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381448929874
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1381448934521
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381448937524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448939774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448940492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448940892
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381448943058
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381448943093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448978226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381448979023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449060522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449062998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449164489
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381449172251
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1381449175599
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449176319
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449177894
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449179497
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449179497
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449180727
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449182489
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449183643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381449184712
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1381449184712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449197066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449200476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449231723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449237306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449239716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449239802
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381449241829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449241901
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381449244383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381449245766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449246560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449482630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449490113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449490494
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1381449492011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449493395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449500610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449506119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449506197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449507227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449527786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1381449538864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449541394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449542194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449675871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449679265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449694715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449706193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381449714704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449716042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449716361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449717190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449719620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449725362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449732958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449734393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449739905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1381449740650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449761477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449763985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381449766340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449768010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449769928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449771311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449772768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449774208
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1381449774687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1381449775392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381449780330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449782931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381449789921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381449795181
